"Jurisdiction","Current date","Outdated coding in days ALL (avg.)","Outdated coding in days C, E, H (avg.)","Outdated coding in days C, H (avg.)","Missing days ALL (avg.)","Missing days C, E, H (avg.)","Missing days C, H (avg.)","Flagged_days_total","Pctg_flagged_days_total","Confirmed_days_total","Pctg_confirmed_days_total","C1: School closing","C2: Workplace closing","C3: Cancel public events","C4: Restrictions on gatherings","C5: Close public transport","C6: Stay at home requirements","C7: Restrictions on internal movement","C8: International travel controls","E1: Income support","E2: Debt/contract relief","H1: Public information campaigns","H2: Testing policy","H3: Contact tracing","H6: Facial Coverings","H7: Vaccination policy","H8: Protection of elderly people","V1: Vaccine prioritisation","V2: Vaccine availability","V3: Vaccine financial support","V4: Mandatory vaccination"
"Northern Territory",2022-12-31,,112,112,258.05,140.0625,139.928571428571,16.3333333333333,0.0727866904337493,7696.5,34.298128342246,2022-09-10,2022-09-10,2022-09-10,2022-09-10,2022-09-10,2022-09-10,2022-09-10,2022-09-10,2022-09-10,2022-09-10,2022-09-10,2022-09-10,2022-09-10,2022-09-10,2022-09-10,2022-09-10,,,,
"South Australia",2022-12-31,31,31,31,184.8,56,54.9285714285714,3.75,0.0167112299465241,10622.3333333333,47.3366013071895,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30
"Victoria",2022-12-31,,31,31,212.45,83.0625,82.9285714285714,3,0.0133689839572193,11497,51.2344028520499,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,,,,
"Western Australia",2022-12-31,,31,31,190.8,56,55.4285714285714,4.66666666666667,0.0207961972667855,10658.6666666667,47.4985145573381,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,,,,
"Australian Capital Territory",2022-12-31,,23.25,26.5714285714286,187.85,52.3125,55.5,5,0.0222816399286988,11160,49.7326203208556,2022-12-31,2022-12-31,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-12-31,2022-12-31,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,,,,
"New South Wales",2022-12-31,24.8,23.25,26.5714285714286,182.85,53.5625,57.0714285714286,85.3333333333333,0.380273321449792,11226.6666666667,50.0297088532383,2022-12-31,2022-12-31,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-12-31,2022-12-31,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30
"Queensland",2022-12-31,,23.25,26.5714285714286,196.7,63.375,61.5,186.5,0.831105169340463,8965,39.9509803921569,2022-12-31,2022-12-31,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-12-31,2022-12-31,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,,,,
"Tasmania",2022-12-31,,27.125,26.5714285714286,185.3,49.125,48.5714285714286,2,0.0089126559714795,10615.6666666667,47.3068924539513,2022-12-31,2022-12-31,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,2022-11-30,,,,
"National Government",2022-12-31,0,0,0,24.4,0,0,2,0.0089126559714795,12762,56.8716577540107,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31,2022-12-31
